Timestamp	Person	Emotion	State
2024-06-07 09:29:36	Unknown	Stressed	Normal
2024-06-07 09:29:36	Unknown	Confident	Normal
2024-06-07 09:29:36	Unknown	Stressed	Normal
2024-06-07 09:29:36	Unknown	Confident	Normal
2024-06-07 09:29:37	Unknown	Stressed	Normal
2024-06-07 09:29:37	Unknown	Confident	Normal
2024-06-07 09:29:38	Unknown	Relaxed	Normal
2024-06-07 09:29:38	Unknown	Confident	Normal
2024-06-07 09:29:39	Unknown	Stressed	Normal
2024-06-07 09:29:39	Unknown	Confident	Normal
2024-06-07 09:29:39	Unknown	Relaxed	Normal
2024-06-07 09:29:40	Unknown	Relaxed	Normal
2024-06-07 09:29:41	Unknown	Stressed	Normal
2024-06-07 09:29:41	Unknown	Stressed	Normal
2024-06-07 09:29:42	Unknown	Stressed	Normal
2024-06-07 09:29:43	Unknown	Stressed	Normal
2024-06-07 09:29:43	Unknown	Relaxed	Normal
2024-06-07 09:29:44	Unknown	Relaxed	Normal
2024-06-07 09:29:45	Unknown	Relaxed	Normal
2024-06-07 09:29:45	Unknown	Relaxed	Normal
2024-06-07 09:29:46	Unknown	Relaxed	Normal
2024-06-07 09:29:47	Unknown	Stressed	Normal
2024-06-07 09:29:47	Unknown	Relaxed	Normal
2024-06-07 09:29:49	Unknown	Unknown	Normal
2024-06-07 09:29:50	Unknown	Relaxed	Normal
2024-06-07 09:29:51	Unknown	Relaxed	Normal
2024-06-07 09:29:51	Unknown	Unknown	Normal
2024-06-07 09:29:51	Unknown	Relaxed	Normal
2024-06-07 09:29:52	Unknown	Unknown	Normal
2024-06-07 09:29:52	Unknown	Stressed	Normal
2024-06-07 09:29:53	Unknown	Unknown	Normal
2024-06-07 09:29:53	Unknown	Relaxed	Normal
2024-06-07 09:29:53	Unknown	Unknown	Normal
2024-06-07 09:29:54	Unknown	Relaxed	Normal
2024-06-07 09:29:54	Unknown	Relaxed	Normal
2024-06-07 09:29:55	Unknown	Relaxed	Normal
2024-06-07 09:29:56	Unknown	Unknown	Normal
2024-06-07 09:29:57	Unknown	Relaxed	Normal
2024-06-07 09:29:58	Unknown	Relaxed	Normal
2024-06-07 09:29:59	Unknown	Relaxed	Normal
2024-06-07 09:29:59	Unknown	Relaxed	Normal
2024-06-07 09:30:00	Unknown	Relaxed	Normal
2024-06-07 09:30:01	Unknown	Relaxed	Normal
2024-06-07 09:30:01	Unknown	Relaxed	Normal
2024-06-07 09:30:02	Unknown	Relaxed	Normal
2024-06-07 09:30:03	Unknown	Relaxed	Normal
2024-06-07 09:30:03	Unknown	Relaxed	Normal
2024-06-07 09:30:04	Unknown	Relaxed	Normal
2024-06-07 09:30:05	Unknown	Relaxed	Normal
2024-06-07 09:30:05	Unknown	Relaxed	Normal
2024-06-07 09:30:06	Unknown	Relaxed	Normal
2024-06-07 09:30:07	Unknown	Relaxed	Normal
2024-06-07 09:30:07	Unknown	Relaxed	Normal
2024-06-07 09:30:08	Unknown	Relaxed	Normal
2024-06-07 09:30:09	Unknown	Relaxed	Normal
2024-06-07 09:30:09	Unknown	Relaxed	Normal
2024-06-07 09:30:10	Unknown	Relaxed	Normal
2024-06-07 09:30:11	Unknown	Relaxed	Normal
2024-06-07 09:30:11	Unknown	Relaxed	Normal
2024-06-07 09:30:12	Unknown	Relaxed	Normal
2024-06-07 09:30:13	Unknown	Relaxed	Normal
2024-06-07 09:30:13	Unknown	Relaxed	Normal
2024-06-07 09:30:14	Unknown	Relaxed	Normal
2024-06-07 09:30:15	Unknown	Relaxed	Normal
2024-06-07 09:30:17	Unknown	Relaxed	Normal
2024-06-07 09:30:18	Unknown	Relaxed	Normal
2024-06-07 09:30:19	Unknown	Relaxed	Normal
2024-06-07 09:30:19	Unknown	Relaxed	Normal
2024-06-07 09:30:20	Unknown	Relaxed	Normal
2024-06-07 09:30:20	Unknown	Unknown	Normal
2024-06-07 09:30:21	Unknown	Relaxed	Normal
2024-06-07 09:30:21	Unknown	Relaxed	Normal
2024-06-07 09:30:21	Unknown	Unknown	Normal
2024-06-07 09:30:22	Unknown	Relaxed	Normal
2024-06-07 09:30:23	Unknown	Relaxed	Normal
2024-06-07 09:30:23	Unknown	Unknown	Normal
2024-06-07 09:30:23	Unknown	Relaxed	Normal
2024-06-07 09:30:23	Unknown	Unknown	Normal
2024-06-07 09:30:24	Unknown	Relaxed	Normal
2024-06-07 09:30:24	Unknown	Anxious	Normal
2024-06-07 09:30:25	Unknown	Relaxed	Normal
2024-06-07 09:30:25	Unknown	Relaxed	Normal
2024-06-07 09:30:26	Unknown	Relaxed	Normal
2024-06-07 09:30:27	Unknown	Relaxed	Normal
2024-06-07 09:30:27	Unknown	Relaxed	Normal
